"YearMonth","StockPack","Count","P.lst.number","Main.Transport.No","Warehouse","Transport.Mode","Carrier","Destination.City","P.lst.Destination.Zip.Code","Destination.Country","Load.Closed.Date","Expected.Time.of.Arrival","POD_ATA","Leadtime..avg.","POD_ATA.Exists","On.Time.Delivery..OTD.","Arrived.at.Harbour.Airport..ATA.","Actual.Delivery.Date..POD."
"NA - NA","Z086257",1,"Z086257","6673149073","38","Air","Sandvik CSRT","VESPASIANO","33200-000","Brazil","2023-01-04","2023-01-12","2023-01-31","8","Yes","No","2023-01-31","2023-01-31"
"NA - NA","Z086257",1,"Z086257","6673149073","38","Air","Sandvik CSRT","VESPASIANO","33200-000","Brazil","2023-01-04","2023-01-12","2023-01-31","8","Yes","No","2023-01-31","2023-01-31"
"NA - NA","Z088163",1,"Z088163","6673149065","38","Air","Sandvik CSRT","BOKSBURG","1459","South Africa","2023-01-04","2023-01-12","2023-01-23","17","Yes","No","2023-01-23","2023-01-23"
"NA - NA","Z088163",1,"Z088163","6673149065","38","Air","Sandvik CSRT","BOKSBURG","1459","South Africa","2023-01-04","2023-01-12","2023-01-23","17","Yes","No","2023-01-23","2023-01-23"
"NA - NA","Z088284",1,"Z088284","6673144629","38","Land","Sandvik CSRT","BALMERTOWN ON","P0V 1C0","Canada","2023-01-03","2023-01-06","2023-01-09","6","Yes","No","2023-01-09","2023-01-09"
"NA - NA","Z088284",1,"Z088284","6673144629","38","Land","Sandvik CSRT","BALMERTOWN ON","P0V 1C0","Canada","2023-01-03","2023-01-06","2023-01-09","6","Yes","No","2023-01-09","2023-01-09"
"NA - NA","Z089118",2,"Z089118","6673137284","12","Air","Sandvik CSRT","BRONG AHAFO REGION","00000","Ghana","2023-01-02","2023-01-09","2023-01-18","16","Yes","No","2023-01-18","2023-01-18"
"NA - NA","Z089118",2,"Z089118","6673137284","12","Air","Sandvik CSRT","BRONG AHAFO REGION","00000","Ghana","2023-01-02","2023-01-09","2023-01-18","16","Yes","No","2023-01-18","2023-01-18"
"NA - NA","Z089119",1,"Z089119","6673137284","12","Air","Sandvik CSRT","HEATHERBRAE NSW","2324","Australia","2023-01-02","2023-01-08","2023-01-11","9","Yes","No","2023-01-11","2023-01-11"
"NA - NA","Z089119",1,"Z089119","6673137284","12","Air","Sandvik CSRT","HEATHERBRAE NSW","2324","Australia","2023-01-02","2023-01-08","2023-01-11","9","Yes","No","2023-01-11","2023-01-11"
